"","YEAR","STATE","TYPE.OF.PRODUCER","ENERGY.SOURCE","GENERATION..Megawatthours."
"1",1990,"AK","Total Electric Power Industry","Total",5599506
"2",1990,"AK","Total Electric Power Industry","Coal",510573
"3",1990,"AK","Total Electric Power Industry","Hydro",974521
"4",1990,"AK","Total Electric Power Industry","Natural Gas",3466261
"5",1990,"AK","Total Electric Power Industry","Petroleum",497116
"6",1990,"AK","Total Electric Power Industry","Wind",0
"7",1990,"AK","Total Electric Power Industry","Wood",151035
"8",1990,"AK","Electric Generators, Electric Utilities","Total",4493024
"9",1990,"AK","Electric Generators, Electric Utilities","Coal",311960
"10",1990,"AK","Electric Generators, Electric Utilities","Hydro",974521
"11",1990,"AK","Electric Generators, Electric Utilities","Natural Gas",2869638
"12",1990,"AK","Electric Generators, Electric Utilities","Petroleum",336905
"13",1990,"AK","Electric Generators, Electric Utilities","Wind",0
"14",1990,"AK","Combined Heat and Power, Industrial Power","Total",840949
"15",1990,"AK","Combined Heat and Power, Industrial Power","Natural Gas",596623
"16",1990,"AK","Combined Heat and Power, Industrial Power","Petroleum",93291
"17",1990,"AK","Combined Heat and Power, Industrial Power","Wood",151035
"18",1990,"AK","Combined Heat and Power, Commercial Power","Total",265533
"19",1990,"AK","Combined Heat and Power, Commercial Power","Coal",198613
"20",1990,"AK","Combined Heat and Power, Commercial Power","Petroleum",66920
"21",1990,"AL","Total Electric Power Industry","Total",79652133
"22",1990,"AL","Total Electric Power Industry","Coal",53658115
"23",1990,"AL","Total Electric Power Industry","Hydro",10366507
"24",1990,"AL","Total Electric Power Industry","Natural Gas",1020714
"25",1990,"AL","Total Electric Power Industry","Nuclear",12051882
"28",1990,"AL","Total Electric Power Industry","Petroleum",138089
"29",1990,"AL","Total Electric Power Industry","Wood",2099847
"30",1990,"AL","Electric Generators, Independent Power Producers","Total",27936
"32",1990,"AL","Electric Generators, Independent Power Producers","Wood",2626
"33",1990,"AL","Electric Generators, Electric Utilities","Total",76231696
"34",1990,"AL","Electric Generators, Electric Utilities","Coal",53301276
"35",1990,"AL","Electric Generators, Electric Utilities","Hydro",10366507
"36",1990,"AL","Electric Generators, Electric Utilities","Natural Gas",420115
"37",1990,"AL","Electric Generators, Electric Utilities","Nuclear",12051882
"38",1990,"AL","Electric Generators, Electric Utilities","Petroleum",91916
"39",1990,"AL","Combined Heat and Power, Industrial Power","Total",2726688
"40",1990,"AL","Combined Heat and Power, Industrial Power","Coal",314241
"41",1990,"AL","Combined Heat and Power, Industrial Power","Natural Gas",567061
"44",1990,"AL","Combined Heat and Power, Industrial Power","Petroleum",46173
"45",1990,"AL","Combined Heat and Power, Industrial Power","Wood",1507544
"46",1990,"AL","Combined Heat and Power, Electric Power","Total",665813
"47",1990,"AL","Combined Heat and Power, Electric Power","Coal",42598
"48",1990,"AL","Combined Heat and Power, Electric Power","Natural Gas",33538
"49",1990,"AL","Combined Heat and Power, Electric Power","Wood",589677
"50",1990,"AR","Total Electric Power Industry","Total",39099598
"51",1990,"AR","Total Electric Power Industry","Coal",19207935
"52",1990,"AR","Total Electric Power Industry","Hydro",3654653
"53",1990,"AR","Total Electric Power Industry","Natural Gas",3578573
"54",1990,"AR","Total Electric Power Industry","Nuclear",11282053
"56",1990,"AR","Total Electric Power Industry","Petroleum",79979
"58",1990,"AR","Total Electric Power Industry","Wood",1238044
"59",1990,"AR","Electric Generators, Electric Utilities","Total",37053436
"60",1990,"AR","Electric Generators, Electric Utilities","Coal",19160989
"61",1990,"AR","Electric Generators, Electric Utilities","Hydro",3654653
"62",1990,"AR","Electric Generators, Electric Utilities","Natural Gas",2838913
"63",1990,"AR","Electric Generators, Electric Utilities","Nuclear",11282053
"64",1990,"AR","Electric Generators, Electric Utilities","Petroleum",73856
"66",1990,"AR","Combined Heat and Power, Industrial Power","Total",1990788
"67",1990,"AR","Combined Heat and Power, Industrial Power","Coal",46946
"68",1990,"AR","Combined Heat and Power, Industrial Power","Natural Gas",692117
"70",1990,"AR","Combined Heat and Power, Industrial Power","Petroleum",3121
"71",1990,"AR","Combined Heat and Power, Industrial Power","Wood",1238044
"72",1990,"AR","Combined Heat and Power, Commercial Power","Total",55374
"73",1990,"AR","Combined Heat and Power, Commercial Power","Natural Gas",47543
"75",1990,"AR","Combined Heat and Power, Commercial Power","Petroleum",3002
"76",1990,"AZ","Total Electric Power Industry","Total",62774297
"77",1990,"AZ","Total Electric Power Industry","Coal",31915610
"78",1990,"AZ","Total Electric Power Industry","Hydro",7417576
"79",1990,"AZ","Total Electric Power Industry","Natural Gas",2333900
"80",1990,"AZ","Total Electric Power Industry","Nuclear",20597689
"81",1990,"AZ","Total Electric Power Industry","Petroleum",151867
"83",1990,"AZ","Total Electric Power Industry","Wood",107888
"84",1990,"AZ","Electric Generators, Electric Utilities","Total",62288980
"85",1990,"AZ","Electric Generators, Electric Utilities","Coal",31636037
"86",1990,"AZ","Electric Generators, Electric Utilities","Hydro",7417576
"87",1990,"AZ","Electric Generators, Electric Utilities","Natural Gas",2271504
"88",1990,"AZ","Electric Generators, Electric Utilities","Nuclear",20597689
"89",1990,"AZ","Electric Generators, Electric Utilities","Petroleum",116407
"91",1990,"AZ","Combined Heat and Power, Industrial Power","Total",455233
"92",1990,"AZ","Combined Heat and Power, Industrial Power","Coal",279573
"93",1990,"AZ","Combined Heat and Power, Industrial Power","Natural Gas",33526
"94",1990,"AZ","Combined Heat and Power, Industrial Power","Petroleum",34246
"95",1990,"AZ","Combined Heat and Power, Industrial Power","Wood",107888
"96",1990,"AZ","Combined Heat and Power, Commercial Power","Total",30084
"97",1990,"AZ","Combined Heat and Power, Commercial Power","Natural Gas",28870
"98",1990,"AZ","Combined Heat and Power, Commercial Power","Petroleum",1214
"99",1990,"CA","Total Electric Power Industry","Total",165784909
"100",1990,"CA","Total Electric Power Industry","Coal",2637677
"101",1990,"CA","Total Electric Power Industry","Geothermal",14521254
"102",1990,"CA","Total Electric Power Industry","Hydro",23792567
"103",1990,"CA","Total Electric Power Industry","Natural Gas",74168308
"104",1990,"CA","Total Electric Power Industry","Nuclear",32692807
"108",1990,"CA","Total Electric Power Industry","Petroleum",5473852
"110",1990,"CA","Total Electric Power Industry","Solar",366668
"111",1990,"CA","Total Electric Power Industry","Wind",2758881
"112",1990,"CA","Total Electric Power Industry","Wood",4121986
"113",1990,"CA","Electric Generators, Independent Power Producers","Total",15407378
"114",1990,"CA","Electric Generators, Independent Power Producers","Coal",111785
"115",1990,"CA","Electric Generators, Independent Power Producers","Geothermal",6091851
"116",1990,"CA","Electric Generators, Independent Power Producers","Hydro",976870
"117",1990,"CA","Electric Generators, Independent Power Producers","Natural Gas",383704
"120",1990,"CA","Electric Generators, Independent Power Producers","Petroleum",431308
"121",1990,"CA","Electric Generators, Independent Power Producers","Solar",364639
"122",1990,"CA","Electric Generators, Independent Power Producers","Wind",2758838
"123",1990,"CA","Electric Generators, Independent Power Producers","Wood",2356110
"124",1990,"CA","Electric Generators, Electric Utilities","Total",114528000
"125",1990,"CA","Electric Generators, Electric Utilities","Geothermal",8429403
"126",1990,"CA","Electric Generators, Electric Utilities","Hydro",22808272
"127",1990,"CA","Electric Generators, Electric Utilities","Natural Gas",45221848
"128",1990,"CA","Electric Generators, Electric Utilities","Nuclear",32692807
"130",1990,"CA","Electric Generators, Electric Utilities","Petroleum",4385235
"132",1990,"CA","Electric Generators, Electric Utilities","Solar",2029
"133",1990,"CA","Electric Generators, Electric Utilities","Wind",43
"134",1990,"CA","Combined Heat and Power, Industrial Power","Total",16572153
"135",1990,"CA","Combined Heat and Power, Industrial Power","Coal",1024772
"136",1990,"CA","Combined Heat and Power, Industrial Power","Natural Gas",11100821
"140",1990,"CA","Combined Heat and Power, Industrial Power","Petroleum",635949
"141",1990,"CA","Combined Heat and Power, Industrial Power","Wood",1719651
"142",1990,"CA","Combined Heat and Power, Electric Power","Total",17547076
"143",1990,"CA","Combined Heat and Power, Electric Power","Coal",1501120
"144",1990,"CA","Combined Heat and Power, Electric Power","Natural Gas",15899278
"146",1990,"CA","Combined Heat and Power, Electric Power","Petroleum",8981
"147",1990,"CA","Combined Heat and Power, Electric Power","Wood",46225
"148",1990,"CA","Combined Heat and Power, Commercial Power","Total",1730302
"149",1990,"CA","Combined Heat and Power, Commercial Power","Hydro",7425
"150",1990,"CA","Combined Heat and Power, Commercial Power","Natural Gas",1562657
"153",1990,"CA","Combined Heat and Power, Commercial Power","Petroleum",12379
"154",1990,"CO","Total Electric Power Industry","Total",32548127
"155",1990,"CO","Total Electric Power Industry","Coal",29814983
"156",1990,"CO","Total Electric Power Industry","Hydro",1419870
"157",1990,"CO","Total Electric Power Industry","Natural Gas",1290092
"159",1990,"CO","Total Electric Power Industry","Petroleum",27390
"161",1990,"CO","Electric Generators, Independent Power Producers","Total",225959
"162",1990,"CO","Electric Generators, Independent Power Producers","Hydro",110909
"163",1990,"CO","Electric Generators, Independent Power Producers","Natural Gas",115050
"164",1990,"CO","Electric Generators, Electric Utilities","Total",31312872
"165",1990,"CO","Electric Generators, Electric Utilities","Coal",29602738
"166",1990,"CO","Electric Generators, Electric Utilities","Hydro",1308961
"167",1990,"CO","Electric Generators, Electric Utilities","Natural Gas",409078
"169",1990,"CO","Electric Generators, Electric Utilities","Petroleum",25129
"171",1990,"CO","Combined Heat and Power, Industrial Power","Total",53888
"172",1990,"CO","Combined Heat and Power, Industrial Power","Natural Gas",51627
"173",1990,"CO","Combined Heat and Power, Industrial Power","Petroleum",2261
"174",1990,"CO","Combined Heat and Power, Electric Power","Total",930200
"175",1990,"CO","Combined Heat and Power, Electric Power","Coal",212245
"176",1990,"CO","Combined Heat and Power, Electric Power","Natural Gas",714337
"178",1990,"CO","Combined Heat and Power, Commercial Power","Total",25208
"180",1990,"CT","Total Electric Power Industry","Total",35147247
"181",1990,"CT","Total Electric Power Industry","Coal",3594645
"182",1990,"CT","Total Electric Power Industry","Hydro",570619
"183",1990,"CT","Total Electric Power Industry","Natural Gas",1251479
"184",1990,"CT","Total Electric Power Industry","Nuclear",19776250
"188",1990,"CT","Total Electric Power Industry","Petroleum",8874466
"190",1990,"CT","Electric Generators, Independent Power Producers","Total",672825
"191",1990,"CT","Electric Generators, Independent Power Producers","Hydro",67239
"193",1990,"CT","Electric Generators, Electric Utilities","Total",32155574
"194",1990,"CT","Electric Generators, Electric Utilities","Coal",2351049
"195",1990,"CT","Electric Generators, Electric Utilities","Hydro",495848
"196",1990,"CT","Electric Generators, Electric Utilities","Natural Gas",471836
"197",1990,"CT","Electric Generators, Electric Utilities","Nuclear",19776250
"199",1990,"CT","Electric Generators, Electric Utilities","Petroleum",8632571
"201",1990,"CT","Combined Heat and Power, Industrial Power","Total",190315
"202",1990,"CT","Combined Heat and Power, Industrial Power","Hydro",7532
"203",1990,"CT","Combined Heat and Power, Industrial Power","Natural Gas",10612
"205",1990,"CT","Combined Heat and Power, Industrial Power","Petroleum",172171
"206",1990,"CT","Combined Heat and Power, Electric Power","Total",1986751
"207",1990,"CT","Combined Heat and Power, Electric Power","Coal",1243596
"208",1990,"CT","Combined Heat and Power, Electric Power","Natural Gas",654360
"211",1990,"CT","Combined Heat and Power, Electric Power","Petroleum",42613
"212",1990,"CT","Combined Heat and Power, Commercial Power","Total",141782
"213",1990,"CT","Combined Heat and Power, Commercial Power","Natural Gas",114671
"214",1990,"CT","Combined Heat and Power, Commercial Power","Petroleum",27111
"215",1990,"DC","Total Electric Power Industry","Total",361043
"216",1990,"DC","Total Electric Power Industry","Coal",0
"217",1990,"DC","Total Electric Power Industry","Petroleum",361043
"218",1990,"DC","Electric Generators, Electric Utilities","Total",361043
"219",1990,"DC","Electric Generators, Electric Utilities","Petroleum",361043
"220",1990,"DC","Combined Heat and Power, Commercial Power","Total",0
"221",1990,"DC","Combined Heat and Power, Commercial Power","Coal",0
"222",1990,"DE","Total Electric Power Industry","Total",7841500
"223",1990,"DE","Total Electric Power Industry","Coal",5113479
"224",1990,"DE","Total Electric Power Industry","Natural Gas",763019
"227",1990,"DE","Total Electric Power Industry","Petroleum",1793806
"228",1990,"DE","Electric Generators, Electric Utilities","Total",7099663
"229",1990,"DE","Electric Generators, Electric Utilities","Coal",4904473
"230",1990,"DE","Electric Generators, Electric Utilities","Natural Gas",759004
"231",1990,"DE","Electric Generators, Electric Utilities","Petroleum",1436186
"232",1990,"DE","Combined Heat and Power, Industrial Power","Total",741837
"233",1990,"DE","Combined Heat and Power, Industrial Power","Coal",209006
"234",1990,"DE","Combined Heat and Power, Industrial Power","Natural Gas",4015
"237",1990,"DE","Combined Heat and Power, Industrial Power","Petroleum",357620
"238",1990,"FL","Total Electric Power Industry","Total",131502553
"239",1990,"FL","Total Electric Power Industry","Coal",60100257
"240",1990,"FL","Total Electric Power Industry","Hydro",174604
"241",1990,"FL","Total Electric Power Industry","Natural Gas",18642683
"242",1990,"FL","Total Electric Power Industry","Nuclear",21779560
"245",1990,"FL","Total Electric Power Industry","Petroleum",25535138
"246",1990,"FL","Total Electric Power Industry","Wood",2144131
"247",1990,"FL","Electric Generators, Independent Power Producers","Total",1695776
"248",1990,"FL","Electric Generators, Independent Power Producers","Natural Gas",1166
"250",1990,"FL","Electric Generators, Independent Power Producers","Petroleum",769
"251",1990,"FL","Electric Generators, Independent Power Producers","Wood",151198
"252",1990,"FL","Electric Generators, Electric Utilities","Total",123623905
"253",1990,"FL","Electric Generators, Electric Utilities","Coal",59073203
"254",1990,"FL","Electric Generators, Electric Utilities","Hydro",174604
"255",1990,"FL","Electric Generators, Electric Utilities","Natural Gas",17504242
"256",1990,"FL","Electric Generators, Electric Utilities","Nuclear",21779560
"257",1990,"FL","Electric Generators, Electric Utilities","Petroleum",25092296
"258",1990,"FL","Combined Heat and Power, Industrial Power","Total",5290804
"259",1990,"FL","Combined Heat and Power, Industrial Power","Coal",383736
"260",1990,"FL","Combined Heat and Power, Industrial Power","Natural Gas",928175
"263",1990,"FL","Combined Heat and Power, Industrial Power","Petroleum",435153
"264",1990,"FL","Combined Heat and Power, Industrial Power","Wood",1992933
"265",1990,"FL","Combined Heat and Power, Electric Power","Total",647307
"266",1990,"FL","Combined Heat and Power, Electric Power","Coal",643318
"267",1990,"FL","Combined Heat and Power, Electric Power","Petroleum",3989
"268",1990,"FL","Combined Heat and Power, Commercial Power","Total",244761
"269",1990,"FL","Combined Heat and Power, Commercial Power","Natural Gas",209100
"271",1990,"FL","Combined Heat and Power, Commercial Power","Petroleum",2931
"272",1990,"GA","Total Electric Power Industry","Total",102686240
"273",1990,"GA","Total Electric Power Industry","Coal",68545692
"274",1990,"GA","Total Electric Power Industry","Hydro",4589117
"275",1990,"GA","Total Electric Power Industry","Natural Gas",830180
"276",1990,"GA","Total Electric Power Industry","Nuclear",24796884
"279",1990,"GA","Total Electric Power Industry","Petroleum",499480
"281",1990,"GA","Total Electric Power Industry","Wood",2947319
"282",1990,"GA","Electric Generators, Independent Power Producers","Total",8021
"283",1990,"GA","Electric Generators, Independent Power Producers","Hydro",7982
"284",1990,"GA","Electric Generators, Independent Power Producers","Natural Gas",24
"285",1990,"GA","Electric Generators, Independent Power Producers","Petroleum",15
"286",1990,"GA","Electric Generators, Electric Utilities","Total",97565058
"287",1990,"GA","Electric Generators, Electric Utilities","Coal",67564750
"288",1990,"GA","Electric Generators, Electric Utilities","Hydro",4544712
"289",1990,"GA","Electric Generators, Electric Utilities","Natural Gas",151615
"290",1990,"GA","Electric Generators, Electric Utilities","Nuclear",24796884
